,name,main_category,rating,reviews,categories,address,city,country,state,zipcode,broader_category,Weighted_Score,Weighted_Average,All_Cities
537,Se Gonbad Tomb Tower,Historical place,4.2,219.0,"Historical place, Dome, Tourist attraction","West Azerbaijan Province, Urmia, Unnamed Road, G3VG+8G3 Se Gonbad Tomb Tower",Orumiyeh,Iran,West Azarbaijan,,Cultural,919.8000000000001,4.26,"Jolfa, Khoy, Naqadeh, Orumiyeh, Oshnavieh, Urmia"
538,tnwr drmny mHmdy,Tourist attraction,5.0,204.0,Tourist attraction,"tnwr drmny mHmdy, J35X+PF3, Sheykh Teymur, West Azerbaijan Province",Orumiyeh,Iran,West Azarbaijan,,Entertainment,1020.0,4.58,"Jolfa, Khoy, Naqadeh, Orumiyeh, Oshnavieh, Urmia"
539,Urmia Museum,Museum,4.3,169.0,"Museum, Tourist attraction","West Azerbaijan Province, Urmia, Beheshti Ave, G3P8+7FP Urmia Museum",Orumiyeh,Iran,West Azarbaijan,,Cultural,726.6999999999999,4.26,"Jolfa, Khoy, Naqadeh, Orumiyeh, Oshnavieh, Urmia"
540,Ellarbaghi Park Urmia,Park,4.4,141.0,"Park, Tourist attraction","Ellarbaghi Park Urmia, G3PW+GRF, Urmia, West Azerbaijan Province",Orumiyeh,Iran,West Azarbaijan,,Nature,620.4000000000001,4.29,"Jolfa, Khoy, Naqadeh, Orumiyeh, Oshnavieh, Urmia"
541,Urmia Historical Bazaar,Bazar,4.3,128.0,"Bazar, Market","West Azerbaijan Province, Urmia, khybn mm, H32F+5CV Urmia Historical Bazaar",Orumiyeh,Iran,West Azarbaijan,,Entertainment,550.4,4.58,"Jolfa, Khoy, Naqadeh, Orumiyeh, Oshnavieh, Urmia"
542,prkh tkhm mrGy,Park,4.1,120.0,"Park, City park, Tourist attraction","prkh tkhm mrGy, H24C+772, Urmia, West Azerbaijan Province",Orumiyeh,Iran,West Azarbaijan,,Nature,491.99999999999994,4.29,"Jolfa, Khoy, Naqadeh, Orumiyeh, Oshnavieh, Urmia"
543,Sa'at Park,Park,4.1,91.0,"Park, Tourist attraction","West Azerbaijan Province, Urmia, shhd, H396+QR8 Sa'at Park",Orumiyeh,Iran,West Azarbaijan,,Nature,373.09999999999997,4.29,"Jolfa, Khoy, Naqadeh, Orumiyeh, Oshnavieh, Urmia"
544,Forest Park,Park,4.4,74.0,"Park, Tourist attraction","West Azerbaijan Province, Urmia, Alborz St, G4G2+M99 Forest Park",Orumiyeh,Iran,West Azarbaijan,,Nature,325.6,4.29,"Jolfa, Khoy, Naqadeh, Orumiyeh, Oshnavieh, Urmia"
545,Guller Baghi,City park,4.4,67.0,City park,"Guller Baghi, G3G2+Q62, Urmia, West Azerbaijan Province",Orumiyeh,Iran,West Azarbaijan,,Nature,294.8,4.29,"Jolfa, Khoy, Naqadeh, Orumiyeh, Oshnavieh, Urmia"
546,Museum of Anthropology,Museum,4.2,55.0,"Museum, Tourist attraction","West Azerbaijan Province, Urmia, ylt, G3V7+PVG Museum of Anthropology",Orumiyeh,Iran,West Azarbaijan,,Cultural,231.0,4.26,"Jolfa, Khoy, Naqadeh, Orumiyeh, Oshnavieh, Urmia"
547,Sardar Mosque,Mosque,4.2,54.0,"Mosque, Tourist attraction","Sardar Mosque, Urmia, West Azerbaijan Province",Orumiyeh,Iran,West Azarbaijan,,Religious,226.8,4.37,"Jolfa, Khoy, Naqadeh, Orumiyeh, Oshnavieh, Urmia"
548,Borazjan Moshir-ol-Molk Castle,Tourist attraction,4.3,118.0,Tourist attraction,"Borazjan Moshir-ol-Molk Castle, 7685+R8R, Borazjan, Bushehr Province",Bushehr,Iran,Bushehr,,Entertainment,507.4,4.53,"Bushehr, Kangan"
549,Dehdashti Edifice,Historical place,4.3,140.0,"Historical place, Tourist attraction","Bushehr, khybn khnr bnkh mskhn,, Enqelab, XRRH+GVM Dehdashti Edifice",Bushehr,Iran,Bushehr,,Cultural,602.0,4.27,"Bushehr, Kangan"
550,Jashak Salt Dome,Tourist attraction,4.8,100.0,Tourist attraction,"Jashak Salt Dome, 7P22+32P, Javinak, Bushehr Province",Bushehr,Iran,Bushehr,,Entertainment,480.0,4.53,"Bushehr, Kangan"
551,armgh shms tbryzy,Tourist attraction,4.3,138.0,Tourist attraction,"West Azerbaijan Province, Khoy, blwr shms tbryzy, armgh shms tbryzy, Shams Tabrizi",Khoy,Iran,West Azarbaijan,,Entertainment,593.4,4.58,"Jolfa, Khoy, Naqadeh, Orumiyeh, Oshnavieh, Urmia"
552,Khoy train bridge(Qotur Bridge),Tourist attraction,4.4,103.0,Tourist attraction,"West Azerbaijan Province, jdh khwy-qTwr-mrz rzy, FQH9+5HC Khoy train bridge(Qotur Bridge)",Khoy,Iran,West Azarbaijan,,Entertainment,453.20000000000005,4.58,"Jolfa, Khoy, Naqadeh, Orumiyeh, Oshnavieh, Urmia"
553,Puriayeh Vali Tomb,Tourist attraction,4.5,94.0,Tourist attraction,"Puriayeh Vali Tomb, GWWP+5C8, Khoy, West Azerbaijan Province",Khoy,Iran,West Azarbaijan,,Entertainment,423.0,4.58,"Jolfa, Khoy, Naqadeh, Orumiyeh, Oshnavieh, Urmia"
554,Sorp serkis Church,Historical landmark,4.2,51.0,"Historical landmark, Tourist attraction","Sorp serkis Church, HW2R+QRQ, Khoy, West Azerbaijan Province",Khoy,Iran,West Azarbaijan,,Cultural,214.20000000000002,4.26,"Jolfa, Khoy, Naqadeh, Orumiyeh, Oshnavieh, Urmia"
555,Historical palace of Sheikh Nasouri ql`h nSwry,Historical place,4.2,57.0,"Historical place, Tourist attraction","Bushehr Province, Bandar Siraf, khwchh nSwry, M88V+H87 Historical palace of Sheikh Nasouri ql`h nSwry",Kangan,Iran,Bushehr,,Cultural,239.4,4.27,"Bushehr, Kangan"
556,The Grand Pier,Tourist attraction,4.4,1199.0,Tourist attraction,"The Grand Pier, G2XG+752, Kish, Hormozgan Province",Kish,Iran,Hormozgan,,Entertainment,5275.6,4.52,"Bandar-abbas, Bandar-e-lengeh, Kish, Qeshm"
557,Kariz-e-Kish Underground City,Archaeological museum,4.1,752.0,"Archaeological museum, Archaeological site, Heritage museum, Historical place, Tourist attraction","Hormozgan Province, Kish, Olympic Sq., Mirmohana, HX49+MG9 Kariz-e-Kish Underground City",Kish,Iran,Hormozgan,,Cultural,3083.2,4.19,"Bandar-abbas, Bandar-e-lengeh, Kish, Qeshm"
558,Ocean Water Park,Water park,4.2,608.0,"Water park, Tourist attraction","Hormozgan Province, Kish, Jahan St, FXWJ+W5C Ocean Water Park",Kish,Iran,Hormozgan,,Entertainment,2553.6,4.52,"Bandar-abbas, Bandar-e-lengeh, Kish, Qeshm"
559,Kish Native Anthropology House,Museum,4.2,149.0,"Museum, Local history museum, Tourist attraction","Kish Native Anthropology House, HWCR+9XC, Kish, Hormozgan Province",Kish,Iran,Hormozgan,,Cultural,625.8000000000001,4.19,"Bandar-abbas, Bandar-e-lengeh, Kish, Qeshm"
560,Micamall Cable Car,Tourist attraction,4.3,78.0,Tourist attraction,"Hormozgan Province, Kish, Darya, G2WF+V2R Micamall Cable Car",Kish,Iran,Hormozgan,,Entertainment,335.4,4.52,"Bandar-abbas, Bandar-e-lengeh, Kish, Qeshm"
561,Ficus Religiosa,Tourist attraction,4.1,61.0,Tourist attraction,"Ficus Religiosa, HX7F+V8R, Kish, Hormozgan Province",Kish,Iran,Hormozgan,,Entertainment,250.09999999999997,4.52,"Bandar-abbas, Bandar-e-lengeh, Kish, Qeshm"
562,The Greek Ship,Tourist attraction,4.5,1293.0,Tourist attraction,"Hormozgan Province, Kish, Kish island, GWG5+F68 The Greek Ship",Kish,Iran,Hormozgan,,Entertainment,5818.5,4.52,"Bandar-abbas, Bandar-e-lengeh, Kish, Qeshm"
563,Harireh Ancient City,Historical landmark,4.3,271.0,"Historical landmark, Historical place, Ruin","Hormozgan Province, Kish, Karane, HX8F+QJJ Harireh Ancient City",Kish,Iran,Hormozgan,,Cultural,1165.3,4.19,"Bandar-abbas, Bandar-e-lengeh, Kish, Qeshm"
564,Coral Gardens,Park,4.3,217.0,"Park, Tourist attraction","Coral Gardens, G2GQ+HJC, Kish, Hormozgan Province",Kish,Iran,Hormozgan,,Nature,933.0999999999999,4.31,"Bandar-abbas, Bandar-e-lengeh, Kish, Qeshm"
565,Simorgh Beach Park,Park,4.5,154.0,"Park, Tourist attraction","Simorgh Beach Park, G27W+FWQ, Kish, Hormozgan Province",Kish,Iran,Hormozgan,,Nature,693.0,4.31,"Bandar-abbas, Bandar-e-lengeh, Kish, Qeshm"
566,City Park,Park,4.2,151.0,"Park, Tourist attraction","City Park, G2R7+677, Kish, Hormozgan Province",Kish,Iran,Hormozgan,,Nature,634.2,4.31,"Bandar-abbas, Bandar-e-lengeh, Kish, Qeshm"
567,Damoon beach,Tourist attraction,4.6,71.0,Tourist attraction,"Damoon beach, HX8P+R8W, Kish, Hormozgan Province",Kish,Iran,Hormozgan,,Entertainment,326.59999999999997,4.52,"Bandar-abbas, Bandar-e-lengeh, Kish, Qeshm"
568,Kish Island's Historical Cistern,Tourist attraction,4.2,63.0,Tourist attraction,"Hormozgan Province, Kish, Green Tree, HX89+4WC Kish Island's Historical Cistern",Kish,Iran,Hormozgan,,Entertainment,264.6,4.52,"Bandar-abbas, Bandar-e-lengeh, Kish, Qeshm"
